#	datafile Path	C:\data\asr\17060530.dat
#	datafile Name	17060530.dat
#	Download date	2017-06-05  
#	download Time	20:02:17
#	Software name	(@) ASRdown_tools.c
#	software Revision	76
#	software date	2004 January 12
#	ASR software version	R392d.MSA
#
#	? location where ASR was operated ? 
#	ceh rooftop June 5 2017 L8 & RE1
#	
#	? weather conditions ? 
#	very nice all day, some wv gradient to the W
#	
#	? ASR operator name ? 
#	daaron all times utc
#	
#	? observations and comments ? 
#	
#	
------------------------------------------------------

------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   8181	ambient	    0
CHANNEL         2   9565	barometer	65535
CHANNEL         3  14929	humidity	65535
CHANNEL         4  17320
CHANNEL         5  23244
CHANNEL         6  31012
CHANNEL         7  42281
CHANNEL         8  42248
CHANNEL         9   5387
CHANNEL        10  29148
TIME         12  :  12  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   8452	ambient	    0
CHANNEL         2   9794	barometer	65535
CHANNEL         3  15269	humidity	65535
CHANNEL         4  17586
CHANNEL         5  23377
CHANNEL         6  31186
CHANNEL         7  42473
CHANNEL         8  42452
CHANNEL         9   5498
CHANNEL        10  29235
TIME         12  :  13  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   8692	ambient	    0
CHANNEL         2   9989	barometer	65535
CHANNEL         3  15452	humidity	65535
CHANNEL         4  17694
CHANNEL         5  23529
CHANNEL         6  31317
CHANNEL         7  42558
CHANNEL         8  42469
CHANNEL         9   5567
CHANNEL        10  29263
TIME         12  :  14  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   8875	ambient	    0
CHANNEL         2  10112	barometer	65535
CHANNEL         3  15650	humidity	65535
CHANNEL         4  17815
CHANNEL         5  23660
CHANNEL         6  31409
CHANNEL         7  42731
CHANNEL         8  42640
CHANNEL         9   5664
CHANNEL        10  29283
TIME         12  :  15  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   9128	ambient	    0
CHANNEL         2  10332	barometer	65535
CHANNEL         3  15914	humidity	65535
CHANNEL         4  17995
CHANNEL         5  23849
CHANNEL         6  31585
CHANNEL         7  42774
CHANNEL         8  42670
CHANNEL         9   5745
CHANNEL        10  29341
TIME         12  :  16  :   4	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   9347	ambient	    0
CHANNEL         2  10537	barometer	65535
CHANNEL         3  16171	humidity	65535
CHANNEL         4  18116
CHANNEL         5  24013
CHANNEL         6  31732
CHANNEL         7  42963
CHANNEL         8  42789
CHANNEL         9   5886
CHANNEL        10  29427
TIME         12  :  17  :   5	DATE	2017-6-5
------------------------------------------------------

TEMP.          47.9	-273.2
CHANNEL         1   9568	ambient	    0
CHANNEL         2  10708	barometer	65535
CHANNEL         3  16385	humidity	65535
CHANNEL         4  18380
CHANNEL         5  24154
CHANNEL         6  31827
CHANNEL         7  43079
CHANNEL         8  42853
CHANNEL         9   5945
CHANNEL        10  29483
TIME         12  :  18  :   5	DATE	2017-6-5
------------------------------------------------------

